movieId,meta-data
11,Comedy Drama Romance  MichaelDouglas AnnetteBening MartinSheen DavidPaymer SamanthaMathis JohnMahoney AnnaDeavereSmith NinaSiemaszko WendieMalick ShawnaWaldron MichaelJ.Fox AnneHaney RichardDreyfuss BeauBillingslea GailStrickland JoshuaMalina ClementvonFranckenstein EfratLavie TaylorNichols JohnMahon TomDahlgren RalphMeyeringJr. KurtA.Boesen JosephLatimore DarrylAlanReed AndrewSteel JordanLund RichardMcGonagle FrankCavestani RichardStahl AliceKushida ReneeFaia BeansMorocco KathrynIsh KamilahMartin AugieBlunt ThomBarry StevenGonzalez GabrielJarret KarenMaruyama NancyKandal GeorgeMurdock BernieMcInerney JackGilroy MatthewSaks GoogyGress RonCanada BrianPietro RickGarcia AaronSorkin KymberlyNewberry GregPoland LeslieBega JenniferCrystalFoley ArthurSenzy NickToth JorgeNoa MaudWinchester JeffreyAnderson SuzanneMichaels MarkThompson DavidDrewGallagher ToddOdom MichaelG.Alexander RayUhler  RobReiner
12,Comedy Horror Fantasy  LeslieNielsen MelBrooks AmyYasbeck PeterMacNicol LysetteAnthony HarveyKorman StevenWeber MarkBlankfield MeganCavanagh GreggBinkley AnneBancroft CliveRevill ChuckMcCann AverySchreiber CherieFranklin EzioGreggio LeslieSachs RudyDeLuca DarlaHaun KarenRoe CharlieCallas MaudWinchester KathleenKane TonyGriffin CindyMarshall-Day  MelBrooks
13,Family Animation Adventure  KevinBacon BobHoskins BridgetFonda JimCummings PhilCollins JulietteBrewer JackAngel DannyMann RobbieRist SandraDickinson FrankWelker MiriamMargolyes LolaBates-Campbell  SimonWells
14,Drama History  AnthonyHopkins JoanAllen PowersBoothe EdHarris BobHoskins E.G.Marshall DavidPaymer DavidHydePierce PaulSorvino MarySteenburgen J.T.Walsh JamesWoods BrianBedford KevinDunn FyvushFinkel AnnabethGish TomBower TonyGoldwyn LarryHagman EdwardHerrmann MadelineKahn DanHedaya TonyLoBianco SaulRubinek RobertBeltran JohnCunningham JohnDiehl JohnC.McGinley MichaelChiklis DavidBarryGray JoannaGoing GeorgePlimpton LennyVullo CoreyCarrier RonaldvonKlaussen JohnBedfordLloyd KamardelosReyes EnriqueCastillo JamesPickensJr. VictorRivers BridgetteWilson-Sampras DrewSnyder RicYoung SeanStone JoshuaDuvallPreston IanCalip JackWallace JulieCondra AnnetteHelde HowardPlatt T.J.Kennedy HarryS.Murphy SuzanneSchnulleMurphy MichaelKaufman PamelaDickerson O'NealCompton ChrisRenna WilsonCruz MikeyStone RobertMarshall MarleyShelton JamesKaren RichardFancy PeterCarlin MichelleKrusiec WassStevens TomNicoletti ChuckPfeiffer AlexanderButterfield MarkSteines BaiLing PeterP.StarsonJr. JonTenney JulieAraskog RayWills JohnBellucci ZoeyZimmerman MaryRudolph ClaytonTownsend DonnaDixon JohnStockwell CharlesHaugk BorisSichkin FimaNoveck RaissaDanilova MarilynRockafellow BillBolender MelindaRenna TonyPlana SamWaterston ChuckRiley  OliverStone
15,Action Adventure  GeenaDavis MatthewModine FrankLangella MauryChaykin PatrickMalahide StanShaw RexLinn PaulDillon ChristopherMasterson JimmieF.Skaggs HarrisYulin CarlChase PeterGeeves AngusWright KenBones MaryPegler MaryPeach LucindaAurel ThomasLockyer RogerBooth GeorgeMurcell SimonAtherton DickeyBeer ChristopherHalliday ChrisJohnston RichardLeaf TamWhite RupertVansittart NickBartlett DavidBailie KwameKwei-Armah RamonTikaram ChristopherAdamson  RennyHarlin
16,Crime Drama  RobertDeNiro SharonStone JoePesci DonRickles JamesWoods AlanKing KevinPollak PasqualeCajano L.Q.Jones DickSmothers FrankVincent OscarGoodman RichardRiehle CatherineScorsese VinnyVella NobuMatsuhisa ErikavonTagen NickMazzola DavidRose JohnBloom JosephRigano PhilipSuriano MelissaProphet BillAllison JoeLaDue JosephP.Reidy CraigVincent CarlCiarfalio GeneRuffini DominickGrieco ClemCaserta DanielP.Conte JoeyDePinto JackOrend PaulHerman JedMills ClaudiaHaro FfolliottLeCoque JohnManca RonaldMaccone JosephBono FrankAdonis AnthonyRussell StuartNisbet AlfredNittoli C.C.Carr PeterConti SteveVignari FrankieJ.Allison SteveSchirripa MillicentSheridan FrankieAvalon  MartinScorsese
17,Drama Romance  EmmaThompson KateWinslet AlanRickman HughGrant GemmaJones GregWise ElizabethSpriggs ImogenStubbs HarrietWalter JamesFleet ImeldaStaunton HughLaurie EmilieFrançois RobertHardy RichardLumsden TomWilkinson IanBrimble IsabelleAmyes AlexanderJohn AllanMitchell JosephineGradwell LoneMadsen OliverFordDavies EleanorMcCready LindsayDoran  AngLee
18,Crime Comedy  TimRoth JenniferBeals AntonioBanderas ValeriaGolino DavidProval SammiDavis AmandadeCadenet Madonna IoneSkye LiliTaylor AliciaWitt TamlynTomita LanaMcKissack DannyVerduzco PatriciaVonne SalmaHayek QuentinTarantino PaulCalderon BruceWillis MarisaTomei KathyGriffin LawrenceBender KimberlyBlair MarcLawrence PaulSkemp  AllisonAnders AlexandreRockwell RobertRodriguez QuentinTarantino
19,"Crime Comedy Adventure  JimCarrey IanMcNeice SimonCallow BobGunton MaynardEziashi TommyDavidson SophieOkonedo DannyDaniels AdewaleAkinnuoye-Agbaje SamMotoanaPhillips DamonStandifer BruceSpence Arsenio""Sonny""Trinidad MichaelReidMacKay KenKirzinger DevKennedy PattiTippo WarrenSroka PatrickMichaelStrange  SteveOedekerk"
20,Action Comedy Crime  WesleySnipes WoodyHarrelson JenniferLopez RobertBlake ChrisCooper KatieGill JoeGrifasi ScottSowers SkippSudduth AidaTurturro VincentPastore EnricoColantoni BillNunn JeremyRoberts JoeBacino GregoryMcKinney JoséZúñiga FlexAlexander SharonSchaffer CatherineDudley-Rose DeanNorris GregBronson  JosephRuben
21,Comedy Thriller Crime  JohnTravolta GeneHackman ReneRusso DannyDeVito DennisFarina DelroyLindo JamesGandolfini JonGries ReneeProps DavidPaymer MartinFerrero MiguelSandoval JacobVargas LindaHart BobbySlayton RonKarabatsos AlisonWaddell AmberWaddell JohnCothran JackConley BernardHocke BigDaddyWayne JayMontalvo CarleaseBurke VitoScotti RinoPiccolo AlfredDennis RalphManza ZedFrizzelle HarryVictor PatrickBreen BarrySonnenfeld DonnaW.Scott RebecaArthur ZackPhifer GregGoossen JeffreyJ.Stephen Ernest'Chili'Palmer LeslieBega HarveyKeitel PennyMarshall BetteMidler AlexRocco  BarrySonnenfeld
22,Thriller Crime  SigourneyWeaver HollyHunter WillPatton WilliamMcNamara HarryConnickJr. J.E.Freeman DermotMulroney JohnRothman ShannonO'Hurley BobGreene TonyHaney DannyKovacs TahmusRounds ScottDevenney DavidMichaelSilverman DianeAmos KellyDeMartino RichardConti NickScoggin BertKinyon DennisRichmond RobNilsson KennyKwong CharlesBranklyn RebeccaKlingler TerryBrown CorieHenninger BillBonham KathleenStefano ChrisBeale HansfordPrince DonWest JayJacobus JohnCharlesMorris KeithPhillips JohnettaShearer RonKaell KelvinHanYee JamesCunningham VictorTalmadge BrianKeithRussell DamonLawner RussChristoff DougMorrisson EdithBryson JeniChua WilliamOates LeeKopp ThomasJ.Fieweger FloydGaleHolland AnthonyMoore StephanieSmith S.J.Spinali KatherineFitzhugh RobertBenscoter ArlonG.Greene StuartYee VincenettaGunn DavidFerguson ElevaSingleton GenaBingham JonBriddell  JonAmiel
23,"Action Adventure Crime Thriller Nederlands  SylvesterStallone AntonioBanderas JulianneMoore AnatoliDavydov MuseWatson SteveKahan KellyRowan ReedDiamond KaiWulff KerrySkalsky JamesDouglasHaskins StephenLiska JohnHarms EdwardJ.Rosen ChristinaOrchid BruceR.Orchid SueCarolynWise JamesOliver RonBenJarrett MarianCollier DaveYoung RagnaSigrun MarkWoodford AnibalO.Lleras MartaLabatut ChocoOrta IvonnePiazza ÁngelVázquez AxelAnderson DavidDollase JimGraham WallyDalton PaulTuerpe JohnProcaccino NerissaE.Williams JuanManuelLebrón EddieBellaflores ThomasHelgeland JamesW.Gavin ScottStuber RichardBlum MichaelDeCourcey WhiteyShapiro StefanEnriquez FulvioCecere ShirleyOliver EricSather WallyGudgell J.MillsGoodloe PeterSebastianLackaff JohnLamar ErnieHall CalliMedved RobertSanders RhondaJ.Osborne ChristinaHerrera CarySanchez FrankR.JimenezJr. JeffKing David""Shark""Fralick BobMinor  RichardDonner"
24,Drama Fantasy Science Fiction Thriller  MarySteenburgen SeanPatrickFlanery LanceHenriksen JeffGoldblum BrandonSmith BradfordTatum SusanTyrrell MissyCrider RayWise EstebanPowell DanetteMcMahon PaulaEngel BonnieGallup DeeMacaluso TomTarantini BradyColeman AlexMorris WoodyWatson DarlaRae  VictorSalva
25,Drama Romance  NicolasCage ElisabethShue JulianSands RichardLewis StevenWeber KimAdams EmilyProcter StuartRegen ValeriaGolino GrahamBeckel AlbertHenderson ShashiBhatia CareyLowell AnneLange ThomasKopache VincentWard LucindaJenney FrenchStewart EdLauter WaldemarKalinowski MikeFiggis DavidKriegel BillThompson MarekStabrowski R.LeeErmey MariskaHargitay DannyHuston LaurieMetcalf DavidBrisbin ShawneeSmith PaulQuinn JulianLennon TracyThorne BobRafelson SusanBarnes MarcCoppola MichaelGoorjian JeremyJordan DavidleeWillson XanderBerkeley SergioPremoli GordonMichaels LouRawls  MikeFiggis
26,Drama  LaurenceFishburne IrèneJacob KennethBranagh NathanielParker MichaelMaloney AnnaPatrick NicholasFarrell IndraOvé MichaelSheen  OliverParker
27,Comedy Drama Romance  ChristinaRicci RosieO'Donnell ThoraBirch MelanieGriffith GabyHoffmann DemiMoore AshleighAstonMoore RitaWilson DevonSawa WalterSparrow ClorisLeachman LolitaDavidovich JaneaneGarofalo HankAzaria BonnieHunt RumerWillis BrendanFraser  LesliLinkaGlatter
28,Drama Romance  AmandaRoot CiaránHinds SusanFleetwood FionaShaw JohnWoodvine PhoebeNicholls SamuelWest SophieThompson JudyCornwell SimonRussellBeale FelicityDean RogerHammond VictoriaHamilton EmmaRoberts RobertGlenister RichardMcCabe HelenSchlesinger JaneWood DavidCollings DarleneJohnson CinnamonFaye IsaacMaxwell-Hunt RogerLlewellyn SallyGeorge LonnieJames CorinRedgrave  RogerMichell
29,Fantasy Science Fiction Adventure  RonPerlman DominiquePinon JudithVittet DanielEmilfork Jean-ClaudeDreyfus GenevièveBrunet OdileMallet MireilleMossé SergeMerlin Rufus TickyHolgado CrisHuerta Jean-LouisTrintignant JosephLucien MapiGalán BriacBarthélémy Pierre-QuentinFaesch AlexisPivot FrançoisHadji-Lazaro DominiqueBettenfeld LotfiYahyaJedidi ThierryGibault MarcCaro Ham-ChauLuong FrankiePain EnriqueVillanueva DominiqueChevalier LorellaCravotta ÉricHouzelot PhilippeBeautier MarcAmyot Jean-PhilippeLabadie RaphaèleBouchard ElisabethEtienne RachelBoulenger MichelMotu NaneGermon LéoRubion GuillaumeBillod-Morel Bezak HongMaiThomas RenéPivot DanielAdric ChristopheSalengro RenéMarquant MichelSmolianoff LiliCognard AngéliquePhilibert MariePiémontèse AntoinetteDias ZakRussomanno DjamilaBouda LaurenGeoffroy CyrilAubin BrunoJournée JérémieFreund JorisGeneste JulieBernard ValentinSimonet EglantineBlanckaert GaëtanBouyala MickaelBussinger JonathanGatinois JoshkaKaufmann MorganMariac CarolineMarsily GeoffroyMorange SébastienThaissart CharlotteBienfait CamilleDufeu RobinsonFouille AlysiaHoffeurt SandyKontargyris AndrewLaupen ThéoMadueno ArthurMazet FackryM'Saidie GabrielPierre BérangèrePivot CharlotteRibaud-Chevrey LauraRobert CarolineRochand CarolaneYvan MargotTostivint BusterVerbraeken MathieuKassovitz  Jean-PierreJeunet MarcCaro
30,Drama Crime  GongLi LiBaotian SunChun LiXueJian LiuJiang FuBiao ChenShu WangXiaoxiao JiangBaoying YangQianquan  ZhangYimou
31,Drama  MichellePfeiffer GeorgeDzundza CourtneyB.Vance RobinBartlett JohnNeville LorraineToussaint RenolySantiago SkyeBassett BeatriceWinde WadeDominguez BruklinHarris MarcelloThedford RobertoAlvarez RichardGrant MariselaGonzales ToniNichelleBuzhardt KarinaArroyave MichaelGeorge IvanSergei PaulaGarcés  JohnN.Smith
32,Science Fiction Thriller Mystery  BruceWillis MadeleineStowe BradPitt ChristopherPlummer DavidMorse JonSeda ChristopherMeloni JoeyPerillo LisaGayHamilton MattRoss AnnieGolden MichaelChance H.MichaelWalls BobAdrian BillRaymond ErnestAbuba NellJohnson RozwillYoung JosephMelito FrankGorshin AaronMichaelLacey VernonCampbell SimonJones CarolFlorence IrmaSt.Paule FrederickStrother CharlesTechman RickWarner Anthony'Chip'Brienza BruceKirkpatrick WilfredWilliams JoiletHarris DrucieMcDaniel JohnBlaisse LouisLippa StanKang PatDias FelixPire KarlWarren JosephMcKenna StephenBridgewater RayHuffman CharleyScalies PaulMeshejian KevinThigpen JannEllis MichaelRyanSegal Korchenko RobertO'Neill HarryO'Toole ChuckJeffreys BarryPrice JohnPanzarella JanetZappala LisaTalerico TiffanyBaldwin C.J.Byrnes TomDetrik JoeGerety ReneeSpei BonnieLoev RaymondMamrak AllelonRuggiero Thang SalMazzotta BartTheBear  TerryGilliam
33,Romance Adventure  CraigSheffer ElizabethMcGovern TomHulce KenPogue RonSauvé ValKilmer FreddyAndreiuci  Jean-JacquesAnnaud
34,Fantasy Drama Comedy Family  ChristineCavanaugh MiriamMargolyes DannyMann HugoWeaving MiriamFlynn JamesCromwell RussiTaylor EvelynKrape MichaelEdward-Stevens CharlesBartlett PaulLivingston RoscoeLeeBrowne MagdaSzubanski ZoeBurton PaulGoddard WadeHayward BrittanyByrnes MaryAcres DebiDerryberry MaeveGermaine RossBagley  ChrisNoonan
35,History Drama Romance  EmmaThompson JonathanPryce StevenWaddington SamuelWest RufusSewell PenelopeWilton JanetMcTeer JeremyNortham AlexKingston RichardClifford DavidRyall StephenBoxer PeterBlythe SebastianHarcombe AnnabelMullion DanielBetts  ChristopherHampton
36,"Drama  SusanSarandon SeanPenn RobertProsky RaymondJ.Barry R.LeeErmey CeliaWeston LoisSmith ScottWilson RobertaMaxwell MargoMartindale BartonHeyman SteveBoles NesbittBlaisdell RayAranha LarryPine GilRobbins KevinCooney ClancyBrown AdeleRobbins MichaelCullen PeterSarsgaard MissyYager JennyKrochmal JackBlack JonAbrahams ArthurBridgers SteveCarlisle HelenHester EvaAmurriMartino JackHenryRobbins Gary""Buddy""Boe AmyLong DennisNeal MollyBryant PamelaGarmon AdriánColón JohnD.Wilmot MargaretLane SallyAnnRoberts AlecGifford JohnHurlbutt MikeLongman PeteBurris JoanGlover FlorrieHathorn LenoreBanks IdellaCassamier MarlonHorton KenitraSingleton PalmerJackson JohnathanThomas WalterBreauxJr. ScottSowers CortezNanceJr. AdamNelson DalvinFord DerekSteeley JeremyKnaster MaryRobbins MilesRobbins CrystalWilliamsBrown MarcusLyleBrown JoannaDoherty AnthonyMichaelFrederick ThomasMcGowan RawleighMoreland HelenPrejean CodieScott  TimRobbins"
37,Adventure History Drama Family  PeterReznick JohnMcDonough AviHoffman MattMalloy AbbyLewis VictorSteinbach PeterBoyden PhilipLevy NickMuglia LuigiPetrozza BernardFerstenberg RobertBuckley DonaldTrump PatrickFlynn  StephenLow
38,Comedy Family Romance  KirstieAlley SteveGuttenberg AshleyOlsen Mary-KateOlsen JaneSibbett PhilipBosco MichelleGrisom DesmondRobertson TinyMills ShanelleHenry MichèleLonsdaleSmith SeanOrr ElizabethWalsh DovTiefenbach DouglasO'Keeffe AnthonyAiello LaTonyaBorsay MichaelVollans PaulO'Sullivan LawrenceDane GerardParkes GinaClayton MarkHuisman MarilynBoyle ErnieGrunwald Ellen-RayHennessy AnnickObonsawin AustinPool AndreOttley-Lorant PhilipWilliams  AndyTennant
39,Comedy Romance  AliciaSilverstone StaceyDash BrittanyMurphy PaulRudd DonaldFaison ElisaDonovan BreckinMeyer JeremySisto DanHedaya AidaLinares WallaceShawn TwinkCaplan JustinWalker SabastianRashidi HerbHall JulieBrown SusanMohun NicoleBilderback RonOrbach SeanHolland RogerKabler JaceAlexander JoshLozoff CarlGottlieb JosephD.Reitman AnthonyBeninati MickiDuran GreggRussell JermaineMontell DanielleEckert AmyHeckerling MichaelKlesic SamMaccarone MonicaEvaFoster  AmyHeckerling
40,Drama  JamesEarlJones CharlesS.Dutton JackRobinson TsholofeloWechoemang RamalaoMakhene RichardHarris DollyRathebe JenniferSteyn IanRoberts DavidClatworthy  DarrellJamesRoodt
41,Drama War  IanMcKellen AnnetteBening JimBroadbent RobertDowneyJr. KristinScottThomas AdrianDunbar MaggieSmith TimMcInnerny EdwardHardwicke NigelHawthorne JimCarter DominicWest JohnWood RogerHammond BillPaterson DonaldSumpter MichaelElphick KateSteavenson-Payne JamesDreyfus DavidAntrobus ChristopherBowen EdwardJewesbury MatthewGroom RyanGilmore MarcoWilliamson TresHanley AndyRashleigh DenisLill BrucePurchase MadeleineMora StaceyKent DerekLyons  RichardLoncraine
42,Action Drama Crime War  LarenzTate KeithDavid ChrisTucker FreddyRodríguez RoseJackson N'BusheWright CliftonPowell TerrenceHoward BokeemWoodbine CliftonCollinsJr. ElizabethRodriguez MichaelImperioli CherylFreeman JamesPickensJr. JeniferLewis LarryMcCoy RodneyWinfield StickyFingaz DavidBarryGray JaimzWoolvett Jean-ClaudeLaMarre DanielKruse BernardTelsey RikColitti HeatherB. CarltonWilborn FrankAlbanese MontiSharp TonySirico RobertLuPone MartinSheen IsaiahWashington ChadBonsack MichaelCarrara SeymourCassel DannyChung BrianDonahue CollinFowler RyanWilliams  AlbertHughes AllenHughes
43,Drama Romance  RobertDowneyJr. MegRyan SamNeill DavidThewlis HughGrant PollyWalker IanMcKellen IanMcDiarmid MaryMacLeod WillieRoss BenjaminWhitrow RogerAshton-Griffiths AndrewHavill TonyGardner DavidRyall MarkLetheren SandyMcDade RosalindBennett DavidGant NevilleWatchurst BryanPringle RoyEvans JohnQuarmby JohnDallimore JananKubba HenriettaVoigts SimonTaylor SelinaGiles SusanneMcKenrick NicholasHutchison JennyRunacre ArneNannestad GrahamValentine AnnaSavva ClaireRussell StevenBeard SimonCarter PhilipBabot EnaCohen DylanDavies RussellGomer CarolineLamb JessicaCohen StephenFisher FrankRozelaar-Green BernadetteIglich PhilippaLuce WendyWoodbridge  MichaelHoffman
44,Action Fantasy  ChristopherLambert RobinShou LindenAshby Cary-HiroyukiTagawa BridgetteWilson-Sampras TalisaSoto TrevorGoddard ChrisCasamassa FrançoisPetit KeithCooke EdBoon FrankWelker GregoryMcKinney KennethEdwards PeterJason LloydKino StevenHo SandyHelberg DanielHaggard JohnFujioka T.J.Storm GeraldOkamura JeffWolfe HakimAlston KevinMichaelRichardson TomWoodruffJr. LeoLee  PaulW.S.Anderson
45,Drama Comedy Crime  NicoleKidman MattDillon JoaquinPhoenix CaseyAffleck IlleanaDouglas AlisonFolland DanHedaya WayneKnight KurtwoodSmith HollandTaylor SusanTraylor MariaTucci TimHopper MichaelRispoli BuckHenry GerryQuigley TomForrester AlanEdwardLewis NadineMacKinnon ConradCoates RonGabriel IanHeath GraemeMillington SeanRyan NicholasPasco JoyceMaynard DavidCollins EveCrawford JanetLo DavidCronenberg TomQuinn PeterGlen Amber-LeeCampbell ColleenWilliams SimonRichards PhilipWilliams SusanBacks KyraHarper AdamRoth AndrewScott TamaraGorski KatieGriffin CarlaRenee Mischa GeorgeSegal RainPhoenix ChrisPhillips  GusVanSant
46,Drama Romance  WinonaRyder AnneBancroft EllenBurstyn KateNelligan JeanSimmons MayaAngelou AlfreWoodard DermotMulroney LoisSmith KateCapshaw RipTorn JohnathonSchaech SamanthaMathis JoannaGoing EstherRolle JaredLeto ClaireDanes AliciaGoranson HollandTaylor TimGuinee DerrickO'Connor LorenDean MelindaDillon RichardJenkins DenisArndt AdamBaldwin MichaelMcElroy AriMeyers JaneAlden TamalaJones Rae'VenLarrymoreKelly WillEstes MykeltiWilliamson KaelaGreen KaelynnCraddick SaraCraddick GailStrickland KrystenLeeWilson KellieLynnWilson BrianMcElroy PaigeKettner RyanneKettner AnnieMaeHunter MattZusser DavidWilliams HarveyE.LeeJr. DebraStricklin MaríaCeledonio CharlesParks JonahRooney  JocelynMoorhouse
47,Crime Mystery Thriller  BradPitt MorganFreeman GwynethPaltrow R.LeeErmey JohnC.McGinley JulieAraskog MarkBooneJunior JohnCassini RegE.Cathey PeterCrombie RichardRoundtree RichardSchiff HawthorneJames MichaelMassee LelandOrser RichardPortnow DanielZacapa AlfonsoFreeman HarrisSavides AndrewKevinWalker PamalaTyson RichmondArquette EmilyWagner ShannonWilcox GeorgeChristy EndreHules WilliamDavidson BobCollins DominiqueJennings AllanKolman GeneBorkan MarioDiDonato HarrisonWhite BobStephenson MichaelReidMacKay LennieLoftin MartinSerene DavidCorreia LexieBigham EvanMirand PaulEckstein RachelFlanagan HeidiSchanz BrianEvers JamesDeeth CharlesA.Tamburro CharlesS.Dutton ArthurMax KevinSpacey  DavidFincher
48,Adventure Animation Family Romance  IreneBedard MelGibson DavidOgdenStiers JohnKassir ChristianBale JudyKuhn BillyConnolly FrankWelker RussellMeans LindaHunt DannyMann JoeBaker MichelleSt.John JamesApaumutFall GordonTootoosis JimCummings CharlieAdler DebiDerryberry PhilProctor  MikeGabriel EricGoldberg
49,Drama Romance  PascaleBussières RachaelCrawford HenryCzerny DavidFox DonMcKellar TracyWright ClareCoulter KaryneSteben SarahSteben JonathanPotts TomMelissis StuartClow RichardW.Farrell FidesKrucker ThomasSokolowski Ruffian JenniferRoblin JacquelineCasey SigridJohnson  PatriciaRozema
